,0,1,2
323,323,2005-07-07,muzaffarpur
324,324,2005-07-07,darbhanga
325,325,2005-07-07,una
326,326,2005-07-07,sagar
327,327,2005-07-07,tinsukia
328,328,2005-07-07,dibrugarh
329,329,2005-07-07,jorhat
330,330,2005-07-07,puri
331,331,2005-07-07,kanpur
332,332,2005-07-07,varanasi
333,333,2005-07-07,haridwar
334,334,2005-07-02,madhya pradesh
335,335,2005-07-02,jabalpur
336,336,2005-07-02,sagar
337,337,2005-07-02,rewa
338,338,2005-07-02,satna
339,339,2005-07-10,andhra pradesh
340,340,2005-07-10,guntur
341,341,2005-07-10,nellore
342,342,2005-07-10,patna
343,343,2005-07-10,hyderabad
344,344,2005-07-10,warangal
345,345,2005-07-10,nizamabad
346,346,2005-07-10,khammam
347,347,2005-07-10,karimnagar
348,348,2005-07-10,mahbubnagar
349,349,2005-07-10,nalgonda
350,350,2005-07-10,adilabad
351,351,2005-07-24,goa
352,352,2005-07-24,gujarat
353,353,2005-07-24,himachal pradesh
354,354,2005-07-24,jammu
355,355,2005-07-24,karnataka
356,356,2005-07-24,madhya pradesh
357,357,2005-07-24,maharashtra
358,358,2005-07-24,orissa
359,359,2005-08-26,uttar pradesh
360,360,2005-07-23,andhra pradesh
361,361,2005-07-23,karnataka
362,362,2005-09-16,himachal pradesh
363,363,2005-09-16,uttar pradesh
364,364,2005-09-16,uttarakhand
365,365,2005-09-14,chhattisgarh
366,366,2005-09-14,madhya pradesh
367,367,2005-09-14,maharashtra
368,368,2005-09-14,orissa
369,369,2005-09-14,durg
370,370,2005-09-14,jabalpur
371,371,2005-09-14,nagpur
372,372,2005-09-14,bhadrak
373,373,2005-09-14,jajpur
374,374,2005-10-21,west bengal
375,375,2005-10-21,orissa
376,376,2005-09-22,gujarat
377,377,2005-09-22,surat
378,378,2005-09-22,vadodara
379,379,2005-09-22,bhavnagar
380,380,2005-10-23,andhra pradesh
381,381,2005-10-23,karnataka
382,382,2005-10-23,tamil nadu
383,383,2005-10-23,west bengal
384,384,2005-10-23,puducherry
385,385,2005-10-23,orissa
386,386,2005-10-23,nellore
387,387,2005-10-23,patna
388,388,2005-10-23,bangalore
389,389,2005-10-23,puri
390,390,2005-10-23,chennai
391,391,2005-10-23,madurai
392,392,2005-10-23,salem
393,393,2005-10-23,erode
394,394,2005-10-23,vellore
395,395,2005-12-02,tamil nadu
396,396,2005-07-05,haryana
397,397,2005-07-05,himachal pradesh
398,398,2005-07-05,jammu
399,399,2005-07-05,punjab
400,400,2006-04-15,andhra pradesh
401,401,2006-04-15,hyderabad
402,402,2006-04-15,warangal
403,403,2006-04-15,nizamabad
404,404,2006-04-15,khammam
405,405,2006-04-15,karimnagar
406,406,2006-04-15,mahbubnagar
407,407,2006-04-15,nalgonda
408,408,2006-04-15,adilabad
409,409,2006-05-31,assam
410,410,2006-05-31,tripura
411,411,2006-05-25,kerala
412,412,2006-05-31,gujarat
413,413,2006-05-31,maharashtra
414,414,2006-06-24,uttar pradesh
415,415,2006-07-04,gujarat
416,416,2006-07-03,orissa
417,417,2006-07-24,jammu
418,418,2006-07-28,andhra pradesh
419,419,2006-07-28,chhattisgarh
420,420,2006-07-28,gujarat
421,421,2006-07-28,karnataka
422,422,2006-07-28,madhya pradesh
423,423,2006-07-28,maharashtra
424,424,2006-07-28,rajasthan
425,425,2006-07-28,orissa
426,426,2006-08-18,rajasthan
427,427,2006-08-18,kota
428,428,2006-08-18,udaipur
429,429,2006-08-18,udaipur
430,430,2006-08-31,jammu
431,431,2006-08-29,uttar pradesh
432,432,2006-10-26,andhra pradesh
433,433,2006-10-26,tamil nadu
434,434,2006-08-01,andhra pradesh
435,435,2006-08-01,chhattisgarh
436,436,2006-08-01,orissa
437,437,2006-03-09,madhya pradesh
438,438,2006-03-09,maharashtra
439,439,2006-03-09,rajasthan
440,440,2006-10-01,madhya pradesh
441,441,2007-06-18,assam
442,442,2007-06-18,dibrugarh
443,443,2007-06-18,karimganj
444,444,2007-06-18,hailakandi
445,445,2007-06-18,dibrugarh
446,446,2007-07-01,gujarat
447,447,2007-07-01,madhya pradesh
448,448,2007-07-01,rajasthan
449,449,2007-07-01,rajkot
450,450,2007-07-01,bhavnagar
451,451,2007-07-01,jamnagar
452,452,2007-07-01,junagadh
453,453,2007-07-01,una
454,454,2007-07-01,maharashtra
455,455,2007-07-01,durg
456,456,2007-07-01,raigarh
457,457,2007-07-01,mumbai
458,458,2007-07-01,thane
459,459,2007-07-01,amravati
460,460,2007-06-30,chhattisgarh
461,461,2007-06-30,raipur
462,462,2007-06-30,bilaspur
463,463,2007-06-30,durg
464,464,2007-06-22,andhra pradesh
465,465,2007-06-22,karnataka
466,466,2007-06-22,kerala
