,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Event Source,Event Souce ID
4384,UEI-IMD-FL-2013-0111,2013-08-02,2013-08-02,1.0,heavy rains,,Bhadrak ,,,,,2,,,,2 persons died,IMD,
4385,UEI-IMD-FL-2013-0112,2013-08-10,2013-08-10,1.0,heavy rains ,,Koraput ,,,,,2,,,,2 persons died.,IMD,
4386,UEI-IMD-FL-2013-0113,2013-08-23,2013-08-23,1.0,heavy rains ,,Bhadrak ,,,,,1,,,,One person died,IMD,
4387,UEI-IMD-FL-2013-0114,2013-09-16,2013-09-16,1.0,heavy rains ,,Cuttack ,,,,,1,,,,One person died.,IMD,
4388,UEI-IMD-FL-2013-0115,2013-02-16,2013-02-16,1.0,heavy rains ,,"Banswara, Dholpur and Sawai Madhopur ",,,,,3,,,,3 persons died.,IMD,
4389,UEI-IMD-FL-2013-0116,2013-06-08,2013-06-08,1.0,heavy rains ,,"Kota, Tonk and Udaipur ",,,,,6,,,,6 persons died due to wall collapse. ,IMD,
4390,UEI-IMD-FL-2013-0117,2013-06-11,2013-06-11,1.0,heavy rains,,Jaipur ,,,,,1,,,,One person died.,IMD,
4391,UEI-IMD-FL-2013-0118,2013-09-11,2013-09-11,1.0,heavy rains ,,Chennai and Tiruvallur ,,,,,4,,,,4 persons died.,IMD,
4392,UEI-IMD-FL-2013-0119,2013-10-15,2013-10-15,1.0,heavy rains ,,Coimbatore and Cuddalore ,,,,,,,,,2 persons died due to wall collapse. ,IMD,
4393,UEI-IMD-FL-2013-0120,2013-10-20,2013-10-20,1.0,heavy rains,,Coimbatore and Tiruvannamalai,,,,,1,1,,,One person died due to wall collapse and other washed away.,IMD,
4394,UEI-IMD-FL-2013-0121,2013-11-16,2013-11-16,1.0,heavy rains ,,"Cuddalore, Dharamapuri Kanyakumari, Nagapattinam, Thanjavur, Thiruvarur and Villupuram ",,,,,11,,,7,i) 11 persons died in different incidences. ii) 7 cattle heads perished. ,IMD,
4395,UEI-IMD-FL-2013-0122,2013-11-25,2013-11-25,1.0,heavy rains ,,Pudukkottai ,,,,,3,,,,3 persons died.,IMD,
4396,UEI-IMD-FL-2013-0123,2013-12-13,2013-12-13,1.0,heavy rains ,,Nagapattinam ,,,,,1,,,,One fisherman lost his life. ,IMD,
4397,UEI-IMD-FL-2013-0124,2013-06-12,2013-06-12,1.0,heavy rains ,,Kannauj ,,,,,10,,,,10 persons died. ,IMD,
4398,UEI-IMD-FL-2013-0125,2013-06-17,2013-06-17,1.0,heavy rains ,,Muzaffar Nagar,,,,,1,3,,,One woman died and 3 others injured due to house collapse. ,IMD,
4399,UEI-IMD-FL-2013-0126,2013-06-19,2013-06-19,1.0,heavy rains ,,Barabanki and Bahraich ,,,,,2,,,,2 persons died.,IMD,
4400,UEI-IMD-FL-2013-0127,2013-06-25,2013-06-30,1.0,heavy rains ,,"Faizabad, Gonda and Sitapur ",,,,,12,,,,About 12 persons died in different incidences.,IMD,
4401,UEI-IMD-FL-2013-0128,2013-07-15,2013-07-15,1.0,heavy rains ,,Faizabad,,,,,1,3,,,One person died and 3 others injured. ,IMD,
4402,UEI-IMD-FL-2013-0129,2013-07-26,2013-07-26,1.0,heavy rains ,,Balrampur ,,,,,2,,,,2 persons died.,IMD,
4403,UEI-IMD-FL-2013-0130,2013-08-17,2013-08-17,1.0,heavy rains ,,Kannauj ,,,,,15,3,,,15 persons died and 3 others injured. ,IMD,
