0,1,2
300,300,06-2005,gujrat
301,301,06-2005,gujrat
302,302,06-2005,gujrat
303,303,06-2005,gujrat
304,304,06-2005,gujrat
305,305,06-2005,himachal pradesh
306,306,07-2005,maharashtra
307,307,06-2005,himachal pradesh
308,308,06-2005,chhattisgarh
309,309,06-2005,himachal pradesh
310,310,06-2005,himachal pradesh
311,311,06-2005,himachal pradesh
312,312,07-2005,arunachal pradesh
313,313,07-2005,assam
314,314,07-2005,bihar
315,315,07-2005,goa
316,316,07-2005,uttar pradesh
317,317,07-2005,uttarakhand
318,318,07-2005,west bengal
319,319,07-2005,arunachal pradesh
320,320,07-2005,assam
321,321,07-2005,assam
322,322,07-2005,assam
323,323,07-2005,bihar
324,324,07-2005,bihar
325,325,07-2005,himachal pradesh
326,326,07-2005,madhya pradesh
327,327,07-2005,manipur
328,328,07-2005,assam
329,329,07-2005,assam
330,330,07-2005,orissa
331,331,07-2005,uttar pradesh
332,332,07-2005,uttar pradesh
333,333,07-2005,uttarakhand
334,334,07-2005,madhya pradesh
335,335,07-2005,madhya pradesh
336,336,07-2005,madhya pradesh
337,337,07-2005,madhya pradesh
338,338,07-2005,madhya pradesh
339,339,07-2005,andhra pradesh
340,340,07-2005,andhra pradesh
341,341,07-2005,andhra pradesh
342,342,07-2005,bihar
343,343,07-2005,telangana
344,344,07-2005,telangana
345,345,07-2005,telangana
346,346,07-2005,telangana
347,347,07-2005,telangana
348,348,07-2005,telangana
349,349,07-2005,telangana
350,350,07-2005,telangana
351,351,07-2005,goa
352,352,07-2005,gujarat
353,353,07-2005,himachal pradesh
354,354,07-2005,jammu
355,355,07-2005,karnataka
356,356,07-2005,madhya pradesh
357,357,07-2005,maharashtra
358,358,07-2005,orissa
359,359,08-2005,uttar pradesh
360,360,07-2005,andhra pradesh
361,361,07-2005,karnataka
362,362,09-2005,himachal pradesh
363,363,09-2005,uttar pradesh
364,364,09-2005,uttarakhand
365,365,09-2005,chhattisgarh
366,366,09-2005,madhya pradesh
367,367,09-2005,maharashtra
368,368,09-2005,orissa
369,369,09-2005,chhattisgarh
370,370,09-2005,madhya pradesh
371,371,09-2005,maharashtra
372,372,09-2005,orissa
373,373,09-2005,orissa
374,374,10-2005,west bengal
375,375,10-2005,orissa
376,376,09-2005,gujarat
377,377,09-2005,gujrat
378,378,09-2005,gujrat
379,379,09-2005,gujrat
380,380,10-2005,andhra pradesh
381,381,10-2005,karnataka
382,382,10-2005,tamil nadu
383,383,10-2005,west bengal
